id,proc,name,AUC,Corruption
0,MNISTJoinAggregationProcessor,Loss,0.3347040125386329,0.3
1,MNISTJoinAggregationProcessor,Loss,0.22021630931725789,0.5
2,MNISTJoinAggregationProcessor,Loss,0.05816242014049783,0.7
3,MNISTJoinAggregationProcessor,Complaint,0.7708969877343289,0.3
4,MNISTJoinAggregationProcessor,Tiresias,0.05381750301578776,0.3
5,MNISTJoinAggregationProcessor,Complaint,0.8292574815415205,0.5
6,MNISTJoinAggregationProcessor,Tiresias,0.9475943820367018,0.5
7,MNISTJoinAggregationProcessor,Complaint,0.8177354694858799,0.7
8,MNISTJoinAggregationProcessor,Tiresias,0.13776601670409724,0.7
9,MNISTJoinAggregationProcessor,Tiresias,0.02819431358909562,0.3
10,MNISTJoinAggregationProcessor,Loss,0.3975732814412384,0.3
11,MNISTJoinAggregationProcessor,Loss,0.23334937500791528,0.5
12,MNISTJoinAggregationProcessor,Complaint,0.7718303410261604,0.3
13,MNISTJoinAggregationProcessor,Loss,0.06058423976660116,0.7
14,MNISTJoinAggregationProcessor,Tiresias,0.018741654813205052,0.7
15,MNISTJoinAggregationProcessor,Complaint,0.8384582262129405,0.5
16,MNISTJoinAggregationProcessor,Tiresias,0.21260495687744582,0.5
17,MNISTJoinAggregationProcessor,Complaint,0.8342781120785834,0.7
18,MNISTJoinAggregationProcessor,Tiresias,0.18698764627671283,0.3
19,MNISTJoinAggregationProcessor,Loss,0.33896573889001397,0.3
20,MNISTJoinAggregationProcessor,Loss,0.41664538738564216,0.3
21,MNISTJoinAggregationProcessor,Loss,0.4164164516725514,0.3
22,MNISTJoinAggregationProcessor,Loss,0.32832903345102976,0.3
23,MNISTJoinAggregationProcessor,Loss,0.2522574435480807,0.5
24,MNISTJoinAggregationProcessor,Loss,0.26014741454642165,0.5
25,MNISTJoinAggregationProcessor,Loss,0.2711148541685136,0.5
26,MNISTJoinAggregationProcessor,Complaint,0.7280860093863641,0.3
27,MNISTJoinAggregationProcessor,Complaint,0.7820091750389631,0.3
28,MNISTJoinAggregationProcessor,Tiresias,0.09220826105715467,0.3
29,MNISTJoinAggregationProcessor,Complaint,0.7972069843002931,0.3
30,MNISTJoinAggregationProcessor,Complaint,0.7716014053130695,0.3
31,MNISTJoinAggregationProcessor,Tiresias,0.17120869251292165,0.3
32,MNISTJoinAggregationProcessor,Tiresias,0.016536202660937402,0.3
33,MNISTJoinAggregationProcessor,Loss,0.2304112156634288,0.5
34,MNISTJoinAggregationProcessor,Complaint,0.8540735299704916,0.5
35,MNISTJoinAggregationProcessor,Complaint,0.8562834817188233,0.5
36,MNISTJoinAggregationProcessor,Tiresias,0.939058522561771,0.5
37,MNISTJoinAggregationProcessor,Complaint,0.7960765441167159,0.5
38,MNISTJoinAggregationProcessor,Tiresias,0.19635642912323803,0.5
39,MNISTJoinAggregationProcessor,Loss,0.07681043126149355,0.7
40,MNISTJoinAggregationProcessor,Tiresias,0.02413216651258216,0.5
41,MNISTJoinAggregationProcessor,Complaint,0.8244576436468636,0.5
42,MNISTJoinAggregationProcessor,Tiresias,0.934334671546713,0.5
43,MNISTJoinAggregationProcessor,Loss,0.07165034091147604,0.7
44,MNISTJoinAggregationProcessor,Loss,0.05390324669139075,0.7
45,MNISTJoinAggregationProcessor,Loss,0.08842224909545035,0.7
46,MNISTJoinAggregationProcessor,Complaint,0.790456093217452,0.7
47,MNISTJoinAggregationProcessor,Tiresias,0.00508905030765182,0.7
48,MNISTJoinAggregationProcessor,Complaint,0.8368258663252438,0.7
49,MNISTJoinAggregationProcessor,Complaint,0.8396028861631758,0.7
50,MNISTJoinAggregationProcessor,Tiresias,0.9182086930408205,0.7
51,MNISTJoinAggregationProcessor,Complaint,0.8525612357092459,0.7
52,MNISTJoinAggregationProcessor,Tiresias,0.3197027942954846,0.7
53,MNISTJoinAggregationProcessor,Tiresias,0.030640861909459468,0.7
